,ts,metric,asset,currency,value
4,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,1626651781.1207244
5,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,543443102.2444726
6,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,46573338.40681456
7,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,176229571.76115754
8,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,15789904.493149517
9,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,55098977.96626197
10,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,36831974.93870918
11,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,165691174.73028222
12,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,13360476.017740883
13,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,5140934.186203375
14,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,54959270.28706466
15,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,40697189.75937817
16,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,224550489.55509934
17,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,98536940.55152306
18,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,36711056.520028874
19,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,5566873.519307101
20,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,102820113.4093828
21,2021-10-08,transfers_volume_to_exchanges_sum,BTC,USD,4650392.77414803
22,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,1535622729.3813922
23,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,596752547.9266437
24,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,34999298.15410057
25,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,99876806.08260003
26,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,11483649.163485274
27,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,93431719.37867887
28,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,10114664.32222274
29,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,180227862.22016627
30,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,17522998.16112855
31,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,10170378.368872946
32,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,65832609.32823149
33,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,38684430.49920313
34,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,162893819.61600927
35,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,128967656.10953918
36,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,25512541.04338824
37,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,5975240.910387883
38,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,49564522.01571612
39,2021-10-08,transfers_volume_from_exchanges_sum,BTC,USD,3611986.0810169787
40,2021-10-08,transfers_volume_to_exchanges_sum,ETH,USD,1180601452.6284733
41,2021-10-08,transfers_volume_to_exchanges_sum,ETH,USD,900222326.9051418
42,2021-10-08,transfers_volume_to_exchanges_sum,ETH,USD,14115762.377522776
43,2021-10-08,transfers_volume_to_exchanges_sum,ETH,USD,8413908.050690195
44,2021-10-08,transfers_volume_to_exchanges_sum,ETH,USD,4065416.6412012223
45,2021-10-08,transfers_volume_to_exchanges_sum,ETH,USD,5884792.504081133
46,2021-10-08,transfers_volume_to_exchanges_sum,ETH,USD,64737688.91751303
47,2021-10-08,transfers_volume_to_exchanges_sum,ETH,USD,5826908.620168681
48,2021-10-08,transfers_volume_to_exchanges_sum,ETH,USD,60786708.62270929
49,2021-10-08,transfers_volume_to_exchanges_sum,ETH,USD,65774933.35484978
50,2021-10-08,transfers_volume_to_exchanges_sum,ETH,USD,2729812.6784258117
51,2021-10-08,transfers_volume_to_exchanges_sum,ETH,USD,38734858.3482259
52,2021-10-08,transfers_volume_to_exchanges_sum,ETH,USD,7415626.470088459
53,2021-10-08,transfers_volume_from_exchanges_sum,ETH,USD,963340069.502338
54,2021-10-08,transfers_volume_from_exchanges_sum,ETH,USD,625064188.1852989
55,2021-10-08,transfers_volume_from_exchanges_sum,ETH,USD,10776535.309877193
56,2021-10-08,transfers_volume_from_exchanges_sum,ETH,USD,845087.0336994156
57,2021-10-08,transfers_volume_from_exchanges_sum,ETH,USD,8519397.089842964
58,2021-10-08,transfers_volume_from_exchanges_sum,ETH,USD,14347113.607210938
59,2021-10-08,transfers_volume_from_exchanges_sum,ETH,USD,75338535.698118
60,2021-10-08,transfers_volume_from_exchanges_sum,ETH,USD,4219603.833084283
61,2021-10-08,transfers_volume_from_exchanges_sum,ETH,USD,145029773.75880128
62,2021-10-08,transfers_volume_from_exchanges_sum,ETH,USD,50965506.47653814
63,2021-10-08,transfers_volume_from_exchanges_sum,ETH,USD,924555.4566642862
64,2021-10-08,transfers_volume_from_exchanges_sum,ETH,USD,23321093.861081902
65,2021-10-08,transfers_volume_from_exchanges_sum,ETH,USD,3464206.499088691
397,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,798100643.4923065
398,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,351918881.769784
399,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,29782445.985852566
400,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,19112938.35574681
401,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,1510737.9185919096
402,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,19797800.53795095
403,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,5088514.933006314
404,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,110183452.82764865
405,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,1231314.782911436
406,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,3276230.9300155966
407,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,30400849.65817631
408,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,8012272.455258714
409,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,49927955.57380573
410,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,52027630.565527305
411,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,21184888.88860952
412,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,2388332.172676867
413,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,84604312.25313832
414,2021-10-09,transfers_volume_to_exchanges_sum,BTC,USD,7652083.883605419
415,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,786966069.9247607
416,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,323013210.3531816
417,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,19743467.802058857
418,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,64297046.11588322
419,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,4067476.016401081
420,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,19310907.036668457
421,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,8068991.4251689855
422,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,98269646.84343664
423,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,2977019.9336981685
424,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,2630341.6103863926
425,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,9524000.07800379
426,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,11428603.466331476
427,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,116587522.19137917
428,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,22167647.29116794
429,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,38165903.3378649
430,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,3591004.5275540412
431,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,40504866.24002008
432,2021-10-09,transfers_volume_from_exchanges_sum,BTC,USD,2618415.655553633
433,2021-10-09,transfers_volume_to_exchanges_sum,ETH,USD,382021605.4501203
434,2021-10-09,transfers_volume_to_exchanges_sum,ETH,USD,201219155.29654047
435,2021-10-09,transfers_volume_to_exchanges_sum,ETH,USD,15137776.170755478
436,2021-10-09,transfers_volume_to_exchanges_sum,ETH,USD,21390319.29574993
437,2021-10-09,transfers_volume_to_exchanges_sum,ETH,USD,14667635.328201089
438,2021-10-09,transfers_volume_to_exchanges_sum,ETH,USD,10138365.006761553
439,2021-10-09,transfers_volume_to_exchanges_sum,ETH,USD,13757221.370915182
440,2021-10-09,transfers_volume_to_exchanges_sum,ETH,USD,2264628.4933231305
441,2021-10-09,transfers_volume_to_exchanges_sum,ETH,USD,61077782.39707779
442,2021-10-09,transfers_volume_to_exchanges_sum,ETH,USD,14934088.940935915
443,2021-10-09,transfers_volume_to_exchanges_sum,ETH,USD,2710086.7141659427
444,2021-10-09,transfers_volume_to_exchanges_sum,ETH,USD,17913333.67701657
445,2021-10-09,transfers_volume_to_exchanges_sum,ETH,USD,2266947.142115292
446,2021-10-09,transfers_volume_from_exchanges_sum,ETH,USD,487451708.1270381
447,2021-10-09,transfers_volume_from_exchanges_sum,ETH,USD,308032269.1853838
448,2021-10-09,transfers_volume_from_exchanges_sum,ETH,USD,4132419.1716803024
449,2021-10-09,transfers_volume_from_exchanges_sum,ETH,USD,0.0
450,2021-10-09,transfers_volume_from_exchanges_sum,ETH,USD,4243938.998428739
451,2021-10-09,transfers_volume_from_exchanges_sum,ETH,USD,6588387.07531704
452,2021-10-09,transfers_volume_from_exchanges_sum,ETH,USD,21290097.64835628
453,2021-10-09,transfers_volume_from_exchanges_sum,ETH,USD,3225585.0192041476
454,2021-10-09,transfers_volume_from_exchanges_sum,ETH,USD,100859912.66166128
455,2021-10-09,transfers_volume_from_exchanges_sum,ETH,USD,20998116.358098965
456,2021-10-09,transfers_volume_from_exchanges_sum,ETH,USD,4048499.2568823444
457,2021-10-09,transfers_volume_from_exchanges_sum,ETH,USD,10993205.409923796
458,2021-10-09,transfers_volume_from_exchanges_sum,ETH,USD,1110428.107493542
790,2021-10-10,transfers_volume_to_exchanges_sum,BTC,USD,801152210.4781269
791,2021-10-10,transfers_volume_to_exchanges_sum,BTC,USD,347025655.7392998
792,2021-10-10,transfers_volume_to_exchanges_sum,BTC,USD,14518853.384678967
793,2021-10-10,transfers_volume_to_exchanges_sum,BTC,USD,19603388.799673785
